Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Daily Observation Table for October 28 2022 to November 26 2022
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Avg Temp,Avg Temp Flag
,deg,deg,ft,,,,Degrees F,,Degrees F,,Degrees F,
Ada,47.32119,-96.51406,910,2022,10,28,62.636,,39.546,,51.091,
Ada,47.32119,-96.51406,910,2022,10,29,60.584,,30.619,,45.602,
Ada,47.32119,-96.51406,910,2022,10,30,58.784,,22.091,,40.438,
Ada,47.32119,-96.51406,910,2022,10,31,64.022,,35.074,,49.548,
Ada,47.32119,-96.51406,910,2022,11,01,70.610,,27.538,,49.074,
Ada,47.32119,-96.51406,910,2022,11,02,68.216,,51.998,,60.107,
Ada,47.32119,-96.51406,910,2022,11,03,54.500,,32.760,,43.630,
Ada,47.32119,-96.51406,910,2022,11,04,40.240,,16.214,,28.227,
Ada,47.32119,-96.51406,910,2022,11,05,44.958,,15.710,,30.334,
Ada,47.32119,-96.51406,910,2022,11,06,42.814,,24.031,,33.423,
Ada,47.32119,-96.51406,910,2022,11,07,35.942,,15.674,,25.808,
Ada,47.32119,-96.51406,910,2022,11,08,43.718,,35.847,,39.783,
Ada,47.32119,-96.51406,910,2022,11,09,42.922,,30.760,,36.841,
Ada,47.32119,-96.51406,910,2022,11,10,31.653,,22.874,,27.264,
Ada,47.32119,-96.51406,910,2022,11,11,22.933,,18.009,,20.471,
Ada,47.32119,-96.51406,910,2022,11,12,19.850,,16.808,,18.329,
Ada,47.32119,-96.51406,910,2022,11,13,24.442,,17.402,,20.922,
Ada,47.32119,-96.51406,910,2022,11,14,26.587,,10.670,,18.629,
Ada,47.32119,-96.51406,910,2022,11,15,23.581,,14.972,,19.277,
Ada,47.32119,-96.51406,910,2022,11,16,22.032,,7.844,,14.938,
Ada,47.32119,-96.51406,910,2022,11,17,24.568,,13.802,,19.185,
Ada,47.32119,-96.51406,910,2022,11,18,18.941,,2.534,,10.738,
Ada,47.32119,-96.51406,910,2022,11,19,17.706,,6.872,,12.289,
Ada,47.32119,-96.51406,910,2022,11,20,21.542,,11.336,,16.439,
Ada,47.32119,-96.51406,910,2022,11,21,24.845,,15.368,,20.107,
Ada,47.32119,-96.51406,910,2022,11,22,27.784,,20.592,,24.188,
Ada,47.32119,-96.51406,910,2022,11,23,40.591,,21.092,,30.842,
Ada,47.32119,-96.51406,910,2022,11,24,34.288,,17.748,,26.018,
Ada,47.32119,-96.51406,910,2022,11,25,37.571,,21.504,,29.538,
Ada,47.32119,-96.51406,910,2022,11,26,37.004,,24.739,,30.872,
Adams,48.49988,-98.07588,1580,2022,10,28,60.170,,32.236,,46.203,
Adams,48.49988,-98.07588,1580,2022,10,29,59.774,,33.753,,46.764,
Adams,48.49988,-98.07588,1580,2022,10,30,57.812,,25.511,,41.662,
Adams,48.49988,-98.07588,1580,2022,10,31,55.508,,31.680,,43.594,
Adams,48.49988,-98.07588,1580,2022,11,01,65.174,,31.280,,48.227,
Adams,48.49988,-98.07588,1580,2022,11,02,67.280,,40.984,,54.132,
Adams,48.49988,-98.07588,1580,2022,11,03,43.995,,22.806,,33.401,
Adams,48.49988,-98.07588,1580,2022,11,04,40.536,,12.614,,26.575,
Adams,48.49988,-98.07588,1580,2022,11,05,43.115,,23.068,,33.092,
Adams,48.49988,-98.07588,1580,2022,11,06,39.175,,20.350,,29.763,
Adams,48.49988,-98.07588,1580,2022,11,07,26.753,,12.218,,19.486,
Adams,48.49988,-98.07588,1580,2022,11,08,36.682,,26.425,,31.554,
Adams,48.49988,-98.07588,1580,2022,11,09,28.485,,16.772,,22.629,
Adams,48.49988,-98.07588,1580,2022,11,10,19.539,,13.568,,16.554,
Adams,48.49988,-98.07588,1580,2022,11,11,17.845,,3.164,,10.505,
Adams,48.49988,-98.07588,1580,2022,11,12,15.332,,7.592,,11.462,
Adams,48.49988,-98.07588,1580,2022,11,13,16.790,,10.526,,13.658,
Adams,48.49988,-98.07588,1580,2022,11,14,21.022,,14.576,,17.799,
Adams,48.49988,-98.07588,1580,2022,11,15,20.554,,4.532,,12.543,
Adams,48.49988,-98.07588,1580,2022,11,16,23.394,,-0.004,,11.695,
Adams,48.49988,-98.07588,1580,2022,11,17,21.675,,4.694,,13.185,
Adams,48.49988,-98.07588,1580,2022,11,18,17.150,,-2.740,,7.205,
Adams,48.49988,-98.07588,1580,2022,11,19,18.057,,-2.074,,7.992,
Adams,48.49988,-98.07588,1580,2022,11,20,21.952,,6.440,,14.196,
Adams,48.49988,-98.07588,1580,2022,11,21,21.519,,15.098,,18.309,
Adams,48.49988,-98.07588,1580,2022,11,22,27.723,,16.718,,22.221,
Adams,48.49988,-98.07588,1580,2022,11,23,36.691,,19.566,,28.129,
Adams,48.49988,-98.07588,1580,2022,11,24,30.304,,20.988,,25.646,
Adams,48.49988,-98.07588,1580,2022,11,25,37.292,,21.414,,29.353,
Adams,48.49988,-98.07588,1580,2022,11,26,36.374,,21.900,,29.137,
Alamo,48.54652,-103.47186,2157,2022,10,28,53.744,,29.892,,41.818,
Alamo,48.54652,-103.47186,2157,2022,10,29,57.902,,27.804,,42.853,
Alamo,48.54652,-103.47186,2157,2022,10,30,57.218,,26.314,,41.766,
Alamo,48.54652,-103.47186,2157,2022,10,31,61.952,,34.691,,48.322,
Alamo,48.54652,-103.47186,2157,2022,11,01,63.842,,34.041,,48.942,
Alamo,48.54652,-103.47186,2157,2022,11,02,56.444,,31.309,,43.877,
Alamo,48.54652,-103.47186,2157,2022,11,03,33.067,,12.236,,22.652,
Alamo,48.54652,-103.47186,2157,2022,11,04,45.554,,13.568,,29.561,
Alamo,48.54652,-103.47186,2157,2022,11,05,53.384,,26.116,,39.750,
Alamo,48.54652,-103.47186,2157,2022,11,06,30.715,,7.736,,19.226,
Alamo,48.54652,-103.47186,2157,2022,11,07,27.196,,2.606,,14.901,
Alamo,48.54652,-103.47186,2157,2022,11,08,29.502,,14.504,,22.003,
Alamo,48.54652,-103.47186,2157,2022,11,09,14.792,,8.564,,11.678,
Alamo,48.54652,-103.47186,2157,2022,11,10,9.356,,2.732,,6.044,
Alamo,48.54652,-103.47186,2157,2022,11,11,8.312,,-12.982,,-2.335,
Alamo,48.54652,-103.47186,2157,2022,11,12,14.594,,-11.092,,1.751,
Alamo,48.54652,-103.47186,2157,2022,11,13,14.000,,6.638,,10.319,
Alamo,48.54652,-103.47186,2157,2022,11,14,16.682,,0.608,,8.645,
Alamo,48.54652,-103.47186,2157,2022,11,15,12.236,,3.992,,8.114,
Alamo,48.54652,-103.47186,2157,2022,11,16,27.077,,12.002,,19.540,
Alamo,48.54652,-103.47186,2157,2022,11,17,16.538,,-5.224,,5.657,
Alamo,48.54652,-103.47186,2157,2022,11,18,19.107,,-5.800,,6.654,
Alamo,48.54652,-103.47186,2157,2022,11,19,21.059,E,10.579,E,15.819,E
Alamo,48.54652,-103.47186,2157,2022,11,20,29.907,,5.756,,17.832,
Alamo,48.54652,-103.47186,2157,2022,11,21,26.969,,5.684,,16.327,
Alamo,48.54652,-103.47186,2157,2022,11,22,32.392,,11.192,,21.792,
Alamo,48.54652,-103.47186,2157,2022,11,23,35.793,,21.429,,28.611,
Alamo,48.54652,-103.47186,2157,2022,11,24,36.943,,14.504,,25.724,
Alamo,48.54652,-103.47186,2157,2022,11,25,40.305,,24.440,,32.373,
Alamo,48.54652,-103.47186,2157,2022,11,26,36.334,,19.265,,27.800,
Alvarado,48.245942,-97.021532,809,2022,10,28,64.310,,38.183,,51.247,
Alvarado,48.245942,-97.021532,809,2022,10,29,56.462,,30.742,,43.602,
Alvarado,48.245942,-97.021532,809,2022,10,30,59.198,,21.123,,40.161,
Alvarado,48.245942,-97.021532,809,2022,10,31,59.738,,30.801,,45.270,
Alvarado,48.245942,-97.021532,809,2022,11,01,68.918,,25.718,,47.318,
Alvarado,48.245942,-97.021532,809,2022,11,02,67.442,,46.922,,57.182,
Alvarado,48.245942,-97.021532,809,2022,11,03,51.170,,30.348,,40.759,
Alvarado,48.245942,-97.021532,809,2022,11,04,41.497,,17.510,,29.504,
Alvarado,48.245942,-97.021532,809,2022,11,05,46.652,,16.934,,31.793,
Alvarado,48.245942,-97.021532,809,2022,11,06,41.162,,26.280,,33.721,
Alvarado,48.245942,-97.021532,809,2022,11,07,34.038,,22.181,,28.110,
Alvarado,48.245942,-97.021532,809,2022,11,08,41.792,,33.991,,37.892,
Alvarado,48.245942,-97.021532,809,2022,11,09,38.939,,23.162,,31.051,
Alvarado,48.245942,-97.021532,809,2022,11,10,24.849,,20.696,,22.773,
Alvarado,48.245942,-97.021532,809,2022,11,11,20.752,,12.344,,16.548,
Alvarado,48.245942,-97.021532,809,2022,11,12,18.390,,13.892,,16.141,
Alvarado,48.245942,-97.021532,809,2022,11,13,22.055,,15.710,,18.883,
Alvarado,48.245942,-97.021532,809,2022,11,14,23.524,,6.602,,15.063,
Alvarado,48.245942,-97.021532,809,2022,11,15,22.707,,9.320,,16.014,
Alvarado,48.245942,-97.021532,809,2022,11,16,22.267,,3.812,,13.040,
Alvarado,48.245942,-97.021532,809,2022,11,17,24.001,,13.730,,18.866,
Alvarado,48.245942,-97.021532,809,2022,11,18,19.665,,0.302,,9.984,
Alvarado,48.245942,-97.021532,809,2022,11,19,17.420,,5.702,,11.561,
Alvarado,48.245942,-97.021532,809,2022,11,20,22.521,,5.774,,14.148,
Alvarado,48.245942,-97.021532,809,2022,11,21,25.801,,18.109,,21.955,
